Year,Destination,Jan - Residence,Feb - Residence,Mar - Residence,Apr - Residence,May - Residence,Jun - Residence,Jul - Residence,Aug - Residence,Sep - Residence,Oct - Residence,Nov - Residence,Dec - Residence,Jan - Nationality,Feb - Nationality,Mar - Nationality,Apr - Nationality,May - Nationality,Jun - Nationality,Jul - Nationality,Aug - Nationality,Sep - Nationality,Oct - Nationality,Nov - Nationality,Dec - Nationality
2004,Finland,1248,856,1028,777,910,1086,767,621,811,1365,1064,775,0,0,0,0,0,0,0,0,0,0,0,0
2004,Denmark,1134,1082,1151,948,1104,892,1217,781,857,1158,911,649,0,0,0,0,0,0,0,0,0,0,0,0
2004,Norway,1033,962,1018,840,1016,626,998,540,525,797,619,463,0,0,0,0,0,0,0,0,0,0,0,0
2004,Singapore,812050,796965,805766,809640,772033,827427,717446,726989,793344,807557,820780,830309,0,0,0,0,0,0,0,0,0,0,0,0
2004,Thailand,109486,105038,131399,135805,118138,131943,118493,128257,135645,139541,136202,128505,0,0,0,0,0,0,0,0,0,0,0,0
2004,Indonesia,84178,64045,50203,51218,54020,74206,80442,67793,74568,66011,70349,52892,0,0,0,0,0,0,0,0,0,0,0,0
2004,Brunei Darussalam,68726,31164,47070,45543,27831,38818,22523,29987,36836,29466,36725,38975,0,0,0,0,0,0,0,0,0,0,0,0
2004,Philippines,17880,10254,11071,13398,10849,12193,9914,10309,11871,14446,11419,10195,0,0,0,0,0,0,0,0,0,0,0,0
2004,Vietnam,2704,1866,2580,2283,3047,5453,5878,6183,3877,3723,2402,2092,0,0,0,0,0,0,0,0,0,0,0,0
2004,Cambodia,998,574,595,1324,1652,802,764,1001,1060,931,710,540,0,0,0,0,0,0,0,0,0,0,0,0
2004,South Africa,1540,1224,1173,1325,2274,1267,1748,1004,1613,1320,538,1485,0,0,0,0,0,0,0,0,0,0,0,0
2004,India,15952,14198,12589,10480,15150,23778,13845,13345,13984,15966,11896,11783,0,0,0,0,0,0,0,0,0,0,0,0
2004,Iran,1079,941,948,798,2037,0,474,1187,1893,1177,358,344,0,0,0,0,0,0,0,0,0,0,0,0
2004,Poland,3942,1903,1223,1014,1059,1410,1346,667,671,897,980,568,0,0,0,0,0,0,0,0,0,0,0,0
2004,Italy,2816,1441,1429,1049,1459,1072,1481,3507,1949,1708,990,1135,0,0,0,0,0,0,0,0,0,0,0,0
2004,Russian Federation,1759,760,532,392,542,265,316,454,438,427,357,385,0,0,0,0,0,0,0,0,0,0,0,0
2004,USA,17468,13813,10816,9194,11179,12910,12174,10465,9589,10172,12462,14852,0,0,0,0,0,0,0,0,0,0,0,0
2004,Canada,3641,2937,2841,2515,2964,2650,2873,3234,2573,2700,1953,1941,0,0,0,0,0,0,0,0,0,0,0,0
2004,Saudi Arabia,1397,3082,974,984,1471,2471,6754,12515,6920,1433,651,780,0,0,0,0,0,0,0,0,0,0,0,0
2004,UAE,659,605,399,350,556,629,2418,13280,1502,328,261,174,0,0,0,0,0,0,0,0,0,0,0,0
2004,Turkey,444,469,437,453,1084,0,568,527,629,708,441,367,0,0,0,0,0,0,0,0,0,0,0,0
2004,Germany,4486,5723,4679,4233,5406,3697,3459,4456,5275,4771,3195,4403,0,0,0,0,0,0,0,0,0,0,0,0
2004,Netherlands,3274,2621,2384,1678,2301,1873,2497,3710,2783,2359,1618,1014,0,0,0,0,0,0,0,0,0,0,0,0
2004,France,3037,2544,2724,2394,3312,2152,2719,3828,2988,2939,1958,1967,0,0,0,0,0,0,0,0,0,0,0,0
2004,Switzerland,1804,1263,1305,1320,1829,1122,1187,1227,1242,1559,982,744,0,0,0,0,0,0,0,0,0,0,0,0
2005,Australia,27641,18306,23927,18882,21220,21603,25448,20475,22535,24485,19970,20854,0,0,0,0,0,0,0,0,0,0,0,0
2005,New Zealand,2999,1832,2166,1969,2619,2410,4031,3353,3375,4069,2897,2126,0,0,0,0,0,0,0,0,0,0,0,0
2005,China,30437,43934,39159,21220,27936,20818,34352,42411,33110,30315,54268,54610,0,0,0,0,0,0,0,0,0,0,0,0
2005,Japan,30401,23893,33674,19008,24351,26738,24636,32661,37794,33464,27167,26240,0,0,0,0,0,0,0,0,0,0,0,0
2005,Chinese Taipei,12271,14446,12519,9731,12067,11154,19538,20416,18006,14245,13069,14994,0,0,0,0,0,0,0,0,0,0,0,0
2005,Korea (ROK),11461,12450,11963,10926,12026,10620,16227,18067,14425,11202,14208,14602,0,0,0,0,0,0,0,0,0,0,0,0
2005,UK,22511,20481,28705,20142,15406,13168,16721,23409,19711,18125,22411,19240,0,0,0,0,0,0,0,0,0,0,0,0
2005,Sweden,4205,3641,4949,3232,2060,1274,2132,1752,1479,2080,2845,2759,0,0,0,0,0,0,0,0,0,0,0,0
2005,Finland,1634,1464,1653,983,880,709,841,986,900,1110,1069,943,0,0,0,0,0,0,0,0,0,0,0,0
2005,Denmark,1046,1331,1631,766,701,708,1237,813,1002,838,784,824,0,0,0,0,0,0,0,0,0,0,0,0
2005,Norway,975,1080,1567,763,498,463,989,705,625,714,730,714,0,0,0,0,0,0,0,0,0,0,0,0
2005,Singapore,826099,815129,811637,805460,816025,825313,749012,758426,776917,782599,825109,842780,0,0,0,0,0,0,0,0,0,0,0,0
